语文,数学,外语,Python
102,147,129,15
112,55,7,57
33,36,63,26
109,147,118,121
98,140,62,132
85,143,85,45
94,139,26,12
2,92,44,18
66,86,38,109
101,44,67,25
74,104,26,144
118,73,58,110
147,17,36,79
18,82,32,36
39,48,32,144
70,69,17,111
65,58,36,62
56,75,139,54
25,24,0,4
137,64,132,45
19,39,130,38
31,18,136,87
104,23,81,128
43,26,14,31
91,72,105,126
78,42,52,95
78,149,36,41
1,82,149,75
97,111,53,120
52,50,69,39
83,79,130,38
85,141,130,115
70,23,144,31
139,58,13,42
105,74,49,70
6,123,102,51
103,66,36,89
116,121,122,97
40,104,127,22
63,42,8,65
92,130,150,25
39,64,47,56
67,60,66,18
20,54,14,55
19,115,89,146
85,89,144,140
22,17,132,146
63,113,26,129
13,39,99,39
38,21,63,86
3,46,20,125
48,17,58,134
94,141,96,37
95,124,122,108
21,22,133,67
67,30,141,76
37,146,115,103
52,77,48,66
8,94,124,137
74,105,19,19
123,40,62,0
42,6,55,140
122,57,44,94
115,147,89,147
128,99,115,139
108,76,27,33
112,95,47,39
25,97,14,93
92,130,9,103
77,46,57,136
126,87,97,144
31,113,66,65
37,79,93,10
67,28,108,61
107,114,80,84
46,137,52,42
110,129,75,108
104,50,124,13
19,46,23,23
55,7,135,39
128,31,79,49
74,13,116,8
7,139,76,13
111,117,60,130
27,87,39,109
25,2,65,60
121,14,128,7
40,47,85,150
62,51,75,131
140,104,123,147
39,127,33,31
87,8,38,93
103,73,121,65
71,55,36,23
39,55,64,91
129,114,79,82
150,142,115,137
90,81,35,107
123,87,23,51
51,27,122,140
144,88,78,14
29,75,122,149
105,31,106,102
76,141,117,20
118,22,43,127
0,50,88,64
119,87,133,2
42,126,134,95
138,117,38,117
35,64,37,23
47,84,145,46
92,9,132,68
58,71,16,12
25,93,28,74
58,69,143,45
35,44,139,60
117,121,111,124
95,62,40,146
47,104,69,5
139,97,61,62
15,15,24,70
110,134,108,66
33,74,139,102
114,23,133,100
145,104,52,112
94,41,46,136
34,140,6,120
124,95,145,33
60,125,126,139
109,10,64,0
40,15,62,32
34,52,146,66
147,129,76,48
34,50,128,68
91,22,150,49
23,39,101,139
76,94,72,132
0,101,131,90
41,141,91,100
70,140,0,141
133,74,97,48
150,53,58,125
49,114,150,42
55,142,64,4
23,149,150,136
2,29,101,30
141,78,125,145
71,123,46,64
7,43,135,96
120,139,18,133
28,88,56,140
49,119,62,64
55,119,108,76
22,12,92,90
67,144,64,36
23,24,65,126
18,49,129,47
119,113,92,53
78,17,26,83
115,103,26,119
142,147,78,8
11,138,87,67
138,47,96,34
1,21,47,50
71,141,84,8
22,32,126,5
11,131,112,140
96,65,85,29
139,150,106,10
13,5,144,22
77,38,117,96
41,139,75,14
77,91,145,101
86,82,109,138
47,130,90,114
24,4,57,42
133,53,59,30
55,80,120,144
75,71,59,11
141,145,115,133
93,144,30,14
110,79,90,143
2,86,0,146
125,104,53,146
63,49,43,77
148,69,34,34
103,7,37,127
103,148,3,148
89,3,107,87
13,40,133,96
63,108,92,12
81,65,106,47
127,113,120,11
92,129,94,59
117,50,116,18
19,118,47,47
33,13,130,88
65,75,77,20
90,84,109,10
126,1,95,81
37,101,123,95
115,52,16,36
133,30,134,92
65,6,83,109
5,90,88,39
117,136,131,94
44,9,53,66
25,12,19,79
113,1,63,99
130,143,112,73
132,148,40,148
149,44,97,116
75,66,150,11
46,61,116,82
25,122,87,54
39,117,4,127
44,145,112,138
108,77,57,147
124,45,68,142
98,48,118,43
106,1,143,79
95,102,89,40
27,104,23,76
51,137,74,120
7,25,70,135
63,86,51,123
0,70,7,35
62,65,51,115
50,115,36,6
104,47,17,91
6,142,100,103
51,59,90,147
104,113,66,95
41,126,101,108
130,62,141,43
86,80,23,27
66,26,113,1
70,110,98,107
45,129,4,119
35,134,141,1
35,123,27,4
55,109,32,12
110,98,112,20
25,99,54,95
69,134,18,104
4,125,88,141
36,139,1,28
139,114,77,111
106,114,139,1
94,23,127,46
49,116,71,46
54,110,95,119
85,22,121,4
90,51,90,28
149,87,71,64
102,20,111,65
119,98,56,130
85,50,84,38
89,40,28,99
128,72,20,87
10,124,30,140
147,114,145,36
2,56,148,53
138,70,114,31
133,10,41,46
12,128,92,6
99,83,21,11
37,117,15,25
76,84,86,0
12,59,129,0
46,127,78,68
119,46,137,7
7,130,95,78
83,96,3,106
85,65,109,21
90,38,56,73
3,93,7,0
78,55,95,124
150,73,145,78
97,69,48,60
98,39,143,2
79,52,113,70
48,94,69,129
3,32,24,32
108,103,113,93
51,114,26,129
18,89,134,21
92,138,11,77
104,78,106,81
116,65,128,50
81,42,1,31
136,149,3,112
52,56,114,107
11,5,127,149
44,129,46,15
105,47,39,116
61,134,77,79
28,21,29,48
91,69,0,108
5,147,21,28
83,56,21,73
105,49,40,104
74,59,139,104
117,137,98,40
89,83,52,49
83,22,100,62
72,8,30,19
67,137,33,53
73,137,36,43
86,95,71,138
13,107,87,15
3,0,113,33
102,78,4,72
135,130,94,64
148,44,148,107
147,5,149,71
7,90,62,49
129,145,150,122
125,42,129,143
72,109,0,78
65,46,59,26
104,78,120,133
53,133,35,92
82,13,129,59
19,14,138,134
73,34,86,60
18,30,83,49
38,86,81,27
122,36,77,71
19,26,36,23
149,60,147,96
133,14,150,108
7,92,2,149
110,88,119,11
92,69,13,39
18,25,4,24
38,25,94,16
94,40,78,93
131,36,55,74
3,54,72,44
102,35,104,140
72,117,115,99
41,124,77,76
17,30,29,47
138,132,140,146
0,120,95,55
49,21,44,3
87,72,146,45
150,7,1,89
69,78,106,58
98,141,50,44
42,67,95,89
41,45,53,136
71,1,3,25
114,128,56,135
124,11,44,120
35,67,14,128
81,119,37,13
140,52,89,10
76,127,45,56
0,67,57,35
115,94,5,42
128,120,147,130
57,33,6,7
145,140,83,76
27,94,42,146
134,86,145,44
145,100,20,117
147,4,58,76
112,149,129,73
99,35,40,9
45,136,118,81
106,68,5,12
51,115,56,141
41,81,49,145
13,51,96,103
102,36,120,99
138,146,125,81
21,93,99,56
81,41,74,52
112,122,20,96
39,127,25,145
131,94,149,108
50,37,90,80
42,16,52,80
83,16,86,77
15,139,93,19
24,54,142,85
8,27,91,20
20,130,90,146
87,26,121,94
31,2,117,143
42,45,53,50
84,46,63,112
108,36,84,92
138,54,96,99
3,10,42,74
53,38,131,1
52,25,113,1
20,90,144,119
68,138,79,66
133,68,87,5
1,120,61,64
20,26,131,81
71,89,142,9
134,72,115,109
42,45,142,3
79,27,16,123
71,61,3,125
123,42,101,14
0,46,29,113
138,16,108,131
23,100,145,65
75,81,138,96
10,1,52,21
40,19,3,121
147,149,125,23
26,76,98,5
57,47,132,3
89,31,1,59
18,137,112,18
